manufacturer_id,manufacturer_name
1,ABB
2,ABB (Power-One)
3,ABB/Elster
4,AIMS Power Inc.
5,AMETEK Power Instruments
6,APOS Energy
7,ARK Battery LLC
8,ATI-Watt
9,AU Optronics
10,AXITEC
11,Ablytek
12,Accuenergy
13,Accuenergy (Canada) Inc.
14,Advance Power
15,Advanced Solar Power (Hangzhou)
16,"Afore New Energy Technology (Shanghai) Co., Ltd."
17,"Alpha ESS Co., Ltd."
18,Alps Technology
19,AltGrid Power LLC
20,Altenergy Power System Inc.
21,"Amensolar Ess Co., Ltd"
22,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd
23,Andalay Solar
24,Anhui Rinengzhongtian Semiconductor Development
25,Anhui Rinengzhongtian Semiconductor Development Co. Ltd
26,Anji Dasol Solar Energy Science & Technology
27,Anji Technology
28,Anker Innovations Limited
29,Apparent Energy
30,Apparent Inc.
31,Applied Materials
32,Aptos Solar Technology LLC
33,Astropower
34,Auxin Solar
35,BAE Batteries USA
36,"BSL New Energy Technology Co., Ltd."
37,BST POWER (SHENZHEN) LIMITED
38,BYD Auto Industry Company Limited
39,BYD Company Limited
40,"Base Power, Inc"
41,BenQ Solar
42,BigBattery
43,Blue Planet Energy Systems LLC
44,Bluesun Solar Co.Ltd
45,Bluesun Solar Energy Tech. Co.Ltd
46,Boviet Solar Technology Co. Ltd.
47,Brand Electronic
48,"Briggs & Stratton, LLC"
49,Brultech Research
50,CARLO GAVAZZI
51,CE+T America Inc.
52,"CESC New Energy Technology Co., Ltd."
53,"CORNEX NEW ENERGY CO., LTD"
54,"CSI Energy Storage Co., Ltd."
55,CSI Solar Co. Ltd.
56,"CSI Solar Co., Ltd."
57,Cadenza Innovation
58,Canadian Solar
59,Canadian Solar Inc.
60,Carus Energy Inc.
61,Caterpillar Inc.
62,Centrosolar America
63,CertainTeed
64,Changzhou Eging Photovoltaic Technology
65,Changzhou Nesl Solartech
66,"Cherry Solution Co., Ltd."
67,Chilicon Power
68,"Chilicon Power, LLC"
69,China Sunergy (Nanjing)
70,China Sunergy (Nanjing) Co.Ltd.
71,Chinaland Solar Energy
72,Chint Power Systems America
73,Chint Solar (Zhejiang) Co. Ltd.
74,"Clean Air Investments, LLC."
75,"Contemporary Amperex Technology Co., Limited"
76,"Contemporary Nebula Technology Energy Co.,  Ltd."
77,Continental Control Systems
78,"Curb, Inc."
79,Current Cost
